column_name,data_type
id,SERIAL,FK
alanine,INTEGER,
arginine,INTEGER,
aspartic_acid,INTEGER,
cystine,INTEGER,
glutamic_acid,INTEGER,
glycine,INTEGER,
histidine,INTEGER,
hydroxyproline,INTEGER,
isoleucine,INTEGER,
leucine,INTEGER,
lysine,INTEGER,
methionine,INTEGER,
phenylalanine,INTEGER,
proline,INTEGER,
protein,INTEGER,
serine,INTEGER,
threonine,INTEGER,
tryptophan,INTEGER,
tyrosine,INTEGER,
valine,INTEGER,
